TOKEN USAGE REPORT
==================
Target Directory: E:\tmp\pos-arch\Document-Series
Total Files Scanned: 2539
Total Tokens: 13,721,937
Time Taken: 21.77 seconds
==================

TOKENS     | FILE PATH
16125      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-13_Dashboard-KPIs\Group-B_Sales-KPIs\01_Tasks-17-24_Sales-Metrics.md
16020      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-01_Employee-Management\Group-B_Personal-Contact-Details\01_Tasks-19-26_Email-Phone-Address.md
15995      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-03_Component-Library-Setup\Group-D_Layout-Overlay-Components\02_Tasks-57-64_Sheet-Menus-Command.md
15955      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-02_Department-Designations\Group-D_OrgChart-Visualization\02_Tasks-51-56_Stats-Flatten-Path-Cache.md
15953      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-06_Cash-On-Delivery-COD\Group-B_COD-Processor-Implementation\01_Tasks-17-24_Processor-Eligibility.md
15950      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-01_NextJS-Project-Setup\Group-C_App-Router-Structure\01_Tasks-31-38_App-Root-Auth.md
15925      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-08_Koombiyo-Courier-API\Group-B_API-Client-Implementation\02_Tasks-27-34_Provider-Verify.md
15924      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-03_Demand-Forecasting\Group-F_API-Frontend\01_Tasks-81-90_API-Components-Tests.md
15901      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-02_Tailwind-Design-System\Group-F_Animations-Utilities-GlobalStyles\01_Tasks-73-80_Transitions-Animations.md
15899      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-05_Bank-Transfer-Upload\Group-E_Admin-Verification-Workflow\01_Tasks-59-65_Views-Proof-Actions.md
15883      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-09_Customer-Credit-Loyalty\Group-D_Loyalty-Tiers-Rewards\01_Tasks-51-59_Tier-Model-Evaluation.md
15766      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-02_Product-Recommendations\Group-B_Frequently-Bought-Together\01_Tasks-17-24_Basket-Apriori.md
15759      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-05_Salary-Structure\Group-F_API-Testing-Documentation\01_Tasks-77-83_Serializers-ViewSets.md
15709      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-05_Smart-Search-Sinhaglish\Group-C_Phonetic-Matching\01_Tasks-37-46_Encoder-Matcher.md
15687      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-13_HR-Payroll-UI\Group-C_Attendance-Management\02_Tasks-47-52_ClockIn-Reports.md
15665      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-12_SMS-Gateway-Integration\Group-C_OTP-System\02_Tasks-49-54_Limits-Cleanup-Verify.md
15586      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-04_Product-Detail-Page\Group-A_Route-Page-Structure\02_Tasks-09-16_Container-Data-Verify.md
15581      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-08_Customer-Authentication\Group-F_Social-Login-Testing\02_Tasks-89-94_Testing-Verification.md
15547      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-03_Demand-Forecasting\Group-D_Prediction-Algorithms\01_Tasks-49-56_ABC-Prophet.md
15535      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-13_Dashboard-KPIs\Group-A_KPI-Framework\01_Tasks-01-08_Dashboard-App-Enums.md
